system,no_sent,no_corefs,sent_sentim_0,sent_sentim_1,sent_sentim_2,sent_sentim_3,sent_sentim_4,tok_sentim_0,tok_sentim_1,tok_sentim_2,tok_sentim_3,tok_sentim_4,no_openie,NUMBER,PERSON,LOCATION,DATE,ORGANIZATION,MISC,DURATION,TIME,SET,ORDINAL,MONEY,PERCENT,named_entities,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,``,0,,,'',:,,,$,-LRB-,-RRB-,-LCB-,-RCB-,Attribution[S][N],Background[N][S],Background[S][N],Cause[N][S],Cause[S][N],Comparison[N][N],Comparison[N][S],Condition[N][S],Condition[S][N],Contrast[N][N],Contrast[N][S],Contrast[S][N],Elaboration[N][S],Enablement[N][S],Enablement[S][N],Evaluation[N][S],Evaluation[S][N],Explanation[N][S],Joint[N][N],same-unit[N][N],Summary[N][S],Temporal[N][N],Temporal[N][S],Temporal[S][N],textual-organization[N][N]
D31031.M.100.T.C,5,3,0,5,0,0,0,0,4,105,2,0,24,0,1,1,4,6,1,0,0,0,1,0,0,14,1,1,12,2,0,15,4,0,0,0,1,18,8,10,1,0,1,1,0,3,0,0,0,0,4,0,5,5,2,5,1,3,1,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,11
D30001.M.100.T.B,9,6,0,7,1,1,0,0,5,104,11,0,72,2,15,3,0,7,1,0,0,0,0,0,0,28,2,2,7,0,0,10,7,0,0,0,2,18,7,24,0,0,1,2,0,1,0,0,1,0,7,0,5,1,1,2,2,7,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,1,0,0,0,12
D30040.M.100.T.G,5,4,0,4,0,1,0,0,2,107,2,0,29,0,1,8,6,0,5,0,0,0,2,0,0,22,6,2,13,0,0,8,9,0,0,0,1,9,8,14,2,0,0,0,0,3,0,0,0,0,6,0,3,6,5,1,2,2,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,4,2,0,0,0,0,0,0,13
D30031.M.100.T.D,6,3,0,4,1,1,0,0,1,109,4,0,21,3,0,2,0,4,5,0,0,0,0,2,0,16,2,4,13,0,0,9,7,2,0,0,3,18,6,10,1,0,0,1,1,3,0,0,1,0,5,0,8,4,1,3,0,2,0,0,0,1,0,6,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,2,1,0,0,0,0,0,0,11
D30047.M.100.T.F,7,6,0,4,2,1,0,0,1,116,5,0,27,1,0,7,1,2,2,4,0,0,2,0,0,19,4,3,11,0,0,7,7,1,0,0,2,22,8,10,0,0,1,1,2,3,1,0,0,0,8,0,7,8,0,1,0,2,1,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,0,0,0,0,1,1,0,0,0,1,0,0,14
D30059.M.100.T.H,6,4,1,4,0,1,0,0,4,114,5,0,23,0,9,4,1,4,3,0,0,0,0,0,0,21,5,1,14,0,0,13,8,0,1,0,1,18,4,17,1,0,2,1,0,4,0,0,0,0,1,0,2,5,0,6,1,2,0,0,0,0,0,6,9,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,11
D30005.M.100.T.A,4,3,0,4,0,0,0,0,1,115,0,0,59,1,11,12,6,1,2,0,0,0,0,0,0,33,5,3,11,0,0,19,7,0,0,0,0,14,6,27,1,0,0,0,1,2,0,0,0,0,1,0,0,7,1,2,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,9
D30053.M.100.T.F,8,6,0,7,1,0,0,0,4,107,1,0,18,1,4,5,1,3,5,0,0,0,0,0,0,19,5,2,9,1,0,7,7,0,0,0,1,19,5,20,1,0,2,2,0,2,0,0,0,0,2,0,3,2,1,2,2,6,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,12
D31031.M.100.T.F,5,1,0,4,1,0,0,0,3,109,5,0,30,2,0,0,9,3,1,1,0,0,1,0,0,17,4,4,12,0,0,10,15,0,0,0,0,28,11,3,0,0,0,0,0,2,0,0,1,0,2,0,2,7,0,3,0,0,0,0,0,1,0,5,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,1,0,0,1,0,0,0,8
D30017.M.100.T.A,6,2,0,5,1,0,0,0,6,106,3,0,61,10,0,3,4,1,0,0,0,0,0,0,2,20,4,13,8,0,0,15,7,0,0,0,1,18,9,5,0,0,0,0,2,3,0,0,0,0,3,0,3,9,1,7,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,12
D30042.M.100.T.F,12,7,0,4,7,1,0,0,0,128,3,0,29,0,8,12,1,4,2,0,0,0,2,0,0,29,2,1,12,0,0,13,4,0,0,0,1,15,5,25,0,0,1,3,1,2,0,0,1,0,8,0,6,4,3,3,0,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,17
D30048.M.100.T.G,6,2,0,5,1,0,0,0,4,113,3,0,21,0,0,4,2,1,3,0,0,1,0,3,2,16,3,4,14,0,0,7,15,0,0,0,1,20,4,6,1,0,2,1,0,2,0,0,0,0,4,0,4,7,9,1,0,0,0,0,0,0,0,6,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,2,0,0,0,0,0,0,15
D31050.M.100.T.E,6,3,0,3,1,2,0,1,0,112,3,2,17,3,0,6,0,4,1,1,0,0,0,0,0,15,8,3,9,0,0,10,5,0,0,0,1,15,10,14,1,0,0,2,1,1,0,0,0,0,8,0,4,3,3,5,1,3,0,0,0,0,0,6,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,1,0,0,0,0,1,0,0,0,0,0,0,0,12
D30029.M.100.T.H,6,1,0,4,0,2,0,0,6,113,1,1,39,3,11,1,9,4,2,1,0,0,0,0,0,31,3,3,11,0,0,10,9,0,1,0,0,11,5,19,0,0,2,0,0,5,0,0,0,0,1,0,1,4,4,8,4,2,0,1,0,0,0,6,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,1,0,0,0,0,0,0,0,12
D31033.M.100.T.H,3,5,0,3,0,0,0,0,1,104,2,0,53,2,0,0,0,9,7,0,0,0,0,0,0,18,3,2,8,0,0,14,7,0,0,0,0,20,5,15,0,0,3,2,2,2,0,0,0,0,2,0,2,3,2,0,2,4,2,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,1,0,0,0,0,0,0,10
D31043.M.100.T.G,7,7,0,6,1,0,0,0,2,119,4,0,41,1,8,2,5,3,1,1,0,0,0,0,0,21,5,3,11,0,0,9,7,0,0,0,0,17,1,19,0,0,2,3,3,4,0,0,0,0,4,0,5,12,1,4,0,0,0,0,0,1,0,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,11
D30010.M.100.T.A,5,7,0,4,1,0,0,0,1,108,0,0,21,4,0,7,4,5,6,0,0,0,0,0,0,26,5,6,12,0,0,14,3,0,0,0,0,17,4,17,2,0,1,0,1,1,0,0,0,0,1,0,1,9,3,0,0,0,0,0,0,0,2,5,3,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,9
D30045.M.100.T.F,9,3,0,8,1,0,0,0,2,119,3,0,34,0,0,1,1,4,0,2,0,0,0,0,0,8,5,1,7,1,0,13,8,1,2,0,4,18,16,6,0,0,1,2,0,3,0,0,2,0,1,0,5,2,0,5,4,2,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,15
D31013.M.100.T.D,6,5,0,6,0,0,0,0,6,119,2,0,31,0,8,3,0,3,0,2,0,0,1,0,0,17,5,1,10,0,0,16,14,0,0,0,0,20,9,15,0,0,1,0,2,1,0,0,1,0,3,0,2,1,1,5,3,2,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,7
D30024.M.100.T.C,5,4,0,4,1,0,0,0,3,104,2,0,23,0,3,0,4,4,7,0,0,0,0,0,0,18,1,0,18,0,0,18,7,0,0,0,2,12,4,12,2,0,0,3,2,2,0,0,1,0,1,0,2,5,1,3,0,4,0,1,0,2,0,5,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10
D30038.M.100.T.H,5,4,0,5,0,0,0,0,4,115,4,0,28,3,3,6,10,4,1,0,0,0,0,4,0,31,3,11,9,0,0,9,3,2,0,0,1,13,13,14,1,0,1,1,1,3,0,0,0,0,5,0,3,5,3,3,1,1,1,0,0,0,0,5,8,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,1,2,0,0,0,0,0,0,12
D31038.M.100.T.H,6,2,0,5,1,0,0,0,1,123,2,0,44,6,20,8,2,1,0,0,0,0,0,3,0,40,6,9,9,0,0,17,2,0,0,0,0,10,7,32,0,0,1,0,0,0,0,0,0,0,1,0,0,3,4,6,4,1,1,1,0,0,0,6,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,11
D30010.M.100.T.D,7,5,0,7,0,0,0,0,5,115,1,1,28,3,1,6,1,6,4,0,0,0,0,0,0,21,4,3,14,0,0,12,6,0,1,0,0,16,6,14,1,0,0,2,0,2,1,0,1,0,3,0,3,8,5,3,0,3,0,0,0,0,3,6,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,3,1,0,0,0,0,0,0,14
D30017.M.100.T.F,13,4,0,5,6,2,0,0,3,118,1,0,34,2,0,11,0,1,3,2,0,0,0,0,0,19,4,3,8,0,0,6,9,1,0,0,1,16,11,13,1,0,4,3,0,2,0,0,0,0,4,0,2,2,2,6,4,6,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,19
D30050.M.100.T.B,8,7,0,8,0,0,0,0,1,110,0,0,28,0,8,2,0,7,6,0,0,0,0,0,0,23,1,0,8,0,0,11,4,0,0,0,1,12,11,21,2,0,1,1,4,1,0,0,0,0,4,0,4,0,5,0,2,7,1,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,11
D31026.M.100.T.F,6,4,0,2,1,3,0,1,5,103,8,2,42,0,8,2,4,3,9,0,0,0,2,0,0,28,6,2,14,0,0,12,9,0,2,0,1,18,7,19,3,0,1,1,0,1,0,0,1,0,1,0,3,8,1,1,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,10
D30022.M.100.T.D,6,4,0,4,1,1,0,0,0,120,3,0,24,2,6,5,0,4,1,2,0,0,1,0,0,21,5,3,12,0,0,8,8,0,0,0,1,14,8,15,0,0,1,4,0,2,0,0,0,0,6,0,6,2,2,6,2,6,0,0,0,0,1,6,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,1,1,0,0,0,0,0,0,0,11
D30028.M.100.T.F,9,5,0,8,0,1,0,0,2,118,0,0,23,1,2,21,0,0,5,0,0,0,0,0,0,29,10,1,5,0,0,9,5,0,0,0,0,6,10,25,1,0,2,0,0,1,0,0,0,0,6,0,4,16,2,2,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,1,2,0,0,0,0,0,0,0,17
D30031.M.100.T.E,6,0,0,4,2,0,0,0,3,108,4,0,16,4,0,2,2,1,5,0,0,0,0,2,0,16,3,5,12,0,0,8,5,4,0,0,2,24,6,8,0,0,0,1,0,2,0,0,0,0,8,0,7,4,2,3,1,2,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,1,0,0,0,0,0,0,14
D30049.M.100.T.G,6,5,0,3,1,2,0,0,4,106,7,0,18,0,3,13,4,0,0,0,0,0,0,3,0,23,3,3,11,0,0,12,6,0,0,0,0,19,3,19,0,0,1,2,3,2,0,0,0,0,3,0,2,4,2,3,1,7,0,0,0,0,0,6,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,2,1,0,0,0,0,0,0,13
D30022.M.100.T.A,6,4,1,5,0,0,0,0,2,114,4,0,25,0,11,1,3,5,2,2,0,0,0,0,0,24,3,2,9,0,0,14,5,0,0,0,0,15,5,23,1,0,1,0,1,3,0,0,0,0,2,0,2,6,6,4,0,0,0,0,0,0,1,6,6,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,2,1,0,0,0,0,0,0,13
D30036.M.100.T.A,5,3,0,4,0,1,0,0,4,115,2,1,26,3,11,2,5,0,7,0,0,0,0,0,0,28,5,6,14,0,0,15,9,0,0,0,1,15,3,21,0,0,0,3,1,4,0,1,1,0,3,0,1,6,0,1,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,8
D30051.M.100.T.B,8,5,0,7,1,0,0,0,5,109,1,0,32,2,0,8,0,1,5,0,0,0,0,0,0,16,1,2,6,0,0,16,6,0,0,0,0,14,14,14,0,0,1,3,3,0,0,0,0,0,2,0,1,8,1,5,1,2,0,1,0,0,1,8,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,13
D30006.M.100.T.H,5,4,1,4,0,0,0,0,0,119,3,0,11,0,3,0,0,1,0,1,0,0,1,6,0,12,4,5,19,0,0,11,10,0,0,0,1,18,12,3,0,0,0,0,1,2,0,0,0,0,2,0,3,2,1,6,5,1,1,0,0,1,0,5,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,10
D31033.M.100.T.D,6,8,0,4,0,2,0,0,1,108,4,0,55,1,2,0,0,8,8,3,0,0,0,0,0,22,2,1,13,0,0,13,5,1,0,0,1,21,3,17,0,0,1,3,2,1,0,1,0,0,0,0,1,0,0,6,2,7,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,3,0,0,0,0,0,0,14
D30031.M.100.T.F,9,4,0,7,2,0,0,1,1,119,3,1,105,2,0,5,3,3,2,3,0,0,2,0,0,20,4,3,11,0,0,8,12,1,0,0,3,23,9,11,0,0,1,0,0,3,0,0,0,0,5,0,5,5,2,2,1,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,11
D30029.M.100.T.F,10,4,0,6,2,2,0,0,3,117,4,0,27,4,4,2,0,4,2,2,0,0,0,0,0,18,5,5,6,0,0,9,9,0,0,0,0,13,11,15,0,0,2,0,1,3,0,0,0,0,3,0,2,18,1,4,0,0,1,0,0,0,0,10,6,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,1,2,1,0,0,0,0,0,0,18
D30048.M.100.T.B,8,3,0,6,1,1,0,0,3,108,4,0,24,0,2,4,2,4,3,0,0,0,0,3,0,18,3,2,12,0,0,12,12,0,0,0,4,22,10,12,0,0,0,1,2,0,1,0,0,0,3,0,7,0,1,0,0,2,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,10
D30015.M.100.T.H,5,5,0,5,0,0,0,0,4,104,3,0,56,0,2,6,2,3,4,0,0,0,0,0,0,17,3,0,10,0,0,8,10,0,0,0,2,10,11,11,0,0,0,2,0,4,0,0,0,0,4,0,6,4,2,6,5,1,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,1,1,0,0,0,0,0,0,15
D30007.M.100.T.B,11,4,0,8,3,0,0,0,5,107,2,0,24,2,3,4,0,1,2,2,0,0,0,0,0,14,4,3,2,0,0,14,6,0,0,0,0,21,20,9,0,0,0,1,1,3,0,0,0,0,0,0,2,0,3,0,6,2,0,0,0,0,0,11,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,3,0,0,0,0,0,0,0,15
D30020.M.100.T.C,5,4,0,5,0,0,0,0,3,104,2,0,24,2,0,5,0,3,3,0,0,1,1,0,0,15,4,2,13,1,0,14,7,0,0,0,2,15,11,9,2,0,0,1,2,3,0,0,0,0,2,0,4,4,1,2,1,0,0,0,0,1,0,5,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,10
D30011.M.100.T.E,6,2,0,6,0,0,0,0,4,102,5,0,24,0,12,1,0,0,0,2,0,0,0,0,0,15,3,1,5,0,0,16,8,0,0,0,1,14,3,18,0,0,1,2,1,4,0,0,1,0,1,0,1,6,2,7,0,4,1,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,3,3,0,0,0,0,0,0,14
D30015.M.100.T.E,5,5,0,5,0,0,0,0,3,113,3,0,11,0,5,6,0,3,3,0,0,0,0,0,0,17,4,0,8,0,0,13,10,0,0,0,3,14,5,16,0,0,2,4,1,3,0,0,1,0,2,0,7,4,3,5,1,3,0,0,0,0,2,5,1,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,1,1,0,0,0,0,0,0,15
D30011.M.100.T.A,6,2,0,5,1,0,0,0,2,105,1,0,43,0,10,1,2,0,2,2,0,0,0,0,0,17,5,2,6,0,0,9,9,0,0,0,0,19,4,15,0,0,1,2,3,5,0,0,0,0,1,0,3,12,1,1,0,0,0,0,0,1,0,6,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,1,1,0,0,0,0,0,0,12
D30026.M.100.T.H,5,4,0,3,0,2,0,1,1,112,4,0,24,0,0,0,0,10,1,0,0,0,0,0,0,11,3,0,14,0,0,10,6,1,0,0,2,25,6,11,0,0,0,0,1,2,0,0,1,0,6,0,6,1,3,2,0,5,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,2,0,0,0,0,0,0,13
D30046.M.100.T.E,5,8,0,4,0,1,0,0,3,109,2,0,25,0,5,0,0,4,2,0,0,0,0,0,0,11,6,0,15,0,0,10,9,0,0,0,0,18,2,11,0,0,0,4,3,3,0,0,0,0,5,0,8,4,1,1,2,2,0,1,0,0,0,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,4,1,0,0,0,0,0,0,12
D30037.M.100.T.D,5,3,0,4,0,1,0,0,4,112,2,0,39,3,6,3,0,0,2,0,0,0,0,0,0,14,4,3,10,0,0,19,7,0,0,0,1,21,3,12,1,0,1,2,2,3,0,0,0,0,2,0,4,1,1,3,1,7,0,0,0,0,1,5,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,9
D30010.M.100.T.B,7,5,0,3,4,0,0,0,6,116,0,0,22,3,0,6,1,5,7,1,0,0,1,0,0,24,3,3,7,0,0,16,6,1,0,0,1,18,9,14,1,0,0,0,2,4,0,0,0,0,3,0,5,7,3,3,0,1,1,0,0,0,0,7,5,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0,1,2,2,0,0,0,0,0,0,16
D30044.M.100.T.B,11,4,0,7,4,0,0,0,2,120,1,0,42,1,3,9,0,1,8,1,0,0,1,0,0,24,1,1,11,0,0,8,9,0,0,0,0,23,2,15,3,0,2,3,2,0,0,0,0,0,7,0,4,10,1,3,2,1,0,1,0,1,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,1,0,0,0,0,0,0,0,0,17
D30036.M.100.T.H,5,3,1,1,0,3,0,0,0,111,4,1,21,2,12,0,2,2,4,0,0,0,1,0,0,23,4,4,11,0,0,9,10,0,0,0,0,15,7,20,0,0,0,1,2,2,0,0,0,0,3,0,2,4,2,0,1,3,0,0,0,1,0,5,9,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,2,0,1,0,0,0,0,0,0,11
